nombre,direccion_calle,direccion_codigo_postal,direccion_coordenadas,barrio,cocina
Milonga Tasting Argentina,"San Martin 705 Monasterio de Santa Catalina de Siena",1004,"-34.598879, -58.372831",San Nicolas,"Churrasquería, Parrilla, Argentina"
Criolla Cooking & Wine,Gorriti 4832,1414,"-34.586848, -58.426142",Palermo,"Parrilla, Argentina"
Fogón Asado,Uriarte 1423,1414,"-34.589366, -58.430466",Palermo,"Churrasquería, Parrillada, Parrilla, Argentina"
Argentine Experience,"Fitz Roy 2110 Palermo Hollywood",1425,"-34.585639, -58.427451",Palermo Hollywood,"Churrasquería, Parrilla"
Italpast,"Juana Manso 1450 Faena Hotel Buenos Aires",1107,"-34.609131, -58.363863",Buenos Aires,"Italiana, Francesa, Europea, Sarda"
El Mercado,Martha Salotti 445,1107,"-34.595951, -58.366539",Buenos Aires,Argentina
